ANTECEDANTS,CONSEQUENTS,LIFT,all_CONFIDENCE,KULCZYNSKI,COSINE
4,1,1.2926736870063766e-05,1.2926736870063766e-05,0.8304523567435065,0.8258965579433387
"4,1",11,4.950696085894032e-06,4.950696085894032e-06,0.6113243294264098,0.5011524350269987
4,11,4.967123565448464e-06,4.967123565448464e-06,0.6251646555091265,0.5249864619931061
7,11,5.149383618780832e-06,5.149383618780832e-06,0.6558744168323052,0.5583447265485816
1,11,4.115849652033437e-06,4.115849652033437e-06,0.5456814047914191,0.4831676647534855
3,6,9.796176294938951e-06,9.796176294938951e-06,0.8203807838196625,0.8182478017409504
"3,6",8,6.87953443559232e-06,6.87953443559232e-06,0.6513440010602275,0.6256450673635426
"3,6,8",11,5.149383618780832e-06,5.149383618780832e-06,0.6464948145706959,0.5412851643462915
"3,6",11,4.874834209790733e-06,4.874834209790733e-06,0.639929236387649,0.5616151022202661
3,8,6.754954136289165e-06,6.754954136289165e-06,0.6711756204587597,0.6550482399376097
"3,8",11,5.149383618780832e-06,5.149383618780832e-06,0.663549573116098,0.5719258223163175
3,11,4.907917219259054e-06,4.907917219259054e-06,0.6672509776271455,0.6029177363137039
6,8,5.331281326179135e-06,5.331281326179135e-06,0.561893061013313,0.5556915922466541
"6,8",11,5.149383618780832e-06,5.149383618780832e-06,0.6491287242917023,0.5461295163085443
6,11,4.2747110838464625e-06,4.2747110838464625e-06,0.6069619520842754,0.5644415089972361
2,5,8.033897317657763e-06,8.033897317657763e-06,0.789454936868299,0.789169006021416
"2,5",11,3.7301146507871368e-06,3.7301146507871368e-06,0.5067696463412896,0.45766893940959213
2,11,3.373774948316796e-06,3.373774948316796e-06,0.4888920408731128,0.4597430007483517
5,8,4.7851074628209895e-06,4.7851074628209895e-06,0.5309579166283485,0.528775376948999
"5,8",11,4.327872219303236e-06,4.327872219303236e-06,0.5466751793812882,0.4610225641874613
5,11,3.436171288651718e-06,3.436171288651718e-06,0.5070208183257157,0.4810212740242793
8,11,4.666066406774381e-06,4.666066406774381e-06,0.7353930630064729,0.7152958686459968
